symbol,name,sector,price,marketCap,pe,valuation,changePercent,trending,newsCount
EFIH,"E-finance for Digital and Financial Investements","Unknown",20,ج.م68.9b,35.5,Diversified Financials,4.17,false,0
.EGX30,"EGX 30","Unknown",47516.44,,,,2.29,false,0
.EGX70EWI,"EGX 70 EWI ","Unknown",12245.65,,,,1.26,false,0
4170,"Tourism Enterprise Co.","Unknown",13.18,,,,2.09,false,0
4170.SE,"Tourism Enterprise Co.","Unknown",0.9,,,,0,false,0
9510,"National Building And Marketing Co","Unknown",52.5,,,,-0.94,false,0
9510.SE,"National Building And Marketing Co","Unknown",115,,,,0,false,0
AALR,"General Co Land Recl Devel Reconst","Unknown",150.14,,,,0.77,false,0
ABUK,"Abu Qir Fertilizers and Chemical Industries Co SAE","Unknown",77.93,,,,-0.9,false,0
ACAMD,"Arab Co for Asset Management and Development","Unknown",1.96,,,,1.55,false,0
ACAP,"A Capital Holding","Unknown",7.71,,,,1.45,false,0
ACGC,"Arab Cotton Ginning","Unknown",7.97,,,,4.32,false,0
ACRO,"Acrow Misr","Unknown",107,,,,0,false,0
ACTF,"Act Financial SAE Co","Unknown",2.64,,,,-0.38,false,0
ADCI,"Arab Pharmaceuticals","Unknown",149.97,,,,-0.02,false,0
ADIB,"Abu Dhabi Islamic Bank- Egypt","Unknown",38.65,,,,2.22,false,0
ADPC,"The Arab Dairy Products Co.","Unknown",3.48,,,,0,false,0
ADRI,"Arab Development & Real Estate Investment","Unknown",4.52,,,,0,false,0
AFDI,"El Ahli Investment and Development","Unknown",31.92,,,,0.88,false,0
AFMC,"Alexandria Flour Mills","Unknown",56.77,,,,1.32,false,0
AGIN,"Gulf Arab Investment Co SAE","Unknown",0.004,,,,0,false,0
AIFI,"Atlas for Land Reclamation and Agricultural Processing SAE","Unknown",1.7,,,,1.19,false,0
AIH,"Arabian International Holding","Holding Companies",0.68,,,,0,false,0
AIHC,"Arabia Investments Holding SAE","Unknown",0.309,,,,3,false,0
AJWA,"AJWA for Food Industries company","Unknown",111.32,,,,0.26,false,0
ALCN,"Alexandria Containers and goods","Unknown",25.3,,,,4.12,false,0
ALEX,"Alexandria Cement","Unknown",15.74,,,,0,false,0
ALUM,"Arab Aluminum","Unknown",20.14,,,,0.1,false,0
AMER,"Amer Group Holding","Unknown",1.81,,,,1.12,false,0
AMES,"Alexandria New Medical Center","Unknown",43.84,,,,-0.05,false,0
AMIA,"Arab Moltaka Investments Co","Unknown",4.44,,,,2.07,false,0
AMOC,"Alexandria Mineral Oils Company","Unknown",7.61,,,,1.06,false,0
AMPI,"Al Moasher for Programming and Information Dissemination","Unknown",2.39,,,,-0.42,false,0
ANFI,"Alexandria National Company Fin Inv","Unknown",109.73,,,,-0.3,false,0
APPC,"Advanced Pharma Packaging Co.","Unknown",1.21,,,,0,false,0
APSW,"Arab and Polvara Spinning and Weaving Company SAE","Unknown",8.07,,,,2.02,false,0
ARAB,"Arab Developers Holding","Unknown",0.215,,,,1.42,false,0
ARCC,"Arabian Cement Co SAE","Unknown",49.77,,,,-0.5,false,0
AREH,"Egyptian Real Estate Group","Unknown",1.11,,,,1.84,false,0
ARPI,"Arabian Rocks Plastic Industries","Unknown",0.08,,,,0,false,0
ARVA,"Arab Valves Company","Unknown",6.67,,,,3.89,false,0
ASCM,"ASEC Co for Mining SAE","Unknown",40.02,,,,1.39,false,0
ASPI,"Aspire Capital Holding for Financial Investments","Unknown",0.277,,,,0.73,false,0
ATLC,"Al Tawfeek Leasing Company SAE","Unknown",4.25,,,,1.43,false,0
ATQA,"Misr National Steel SAE","Unknown",8.14,,,,1.75,false,0
AXPH,"Alexandria Pharmaceuticals","Unknown",805.88,,,,-3.5,false,0
BIDI,"El Bader Plastic Co SAE","Unknown",1.11,,,,0.91,false,0
BIGP,"Barbary Investment Group","Unknown",0.171,,,,0.59,false,0
BINV,"B Investments Holding SAE","Unknown",37.54,,,,-0.16,false,0
BIOC,"Glaxo Smith Kline","Unknown",60.28,,,,1.48,false,0
BONY,"Bonyan Development and Trade","Unknown",3.82,,,,0,false,0
BTFH,"Beltone Financial Holding","Unknown",2.96,,,,0.68,false,0
CAED,"Cairo Educational Services","Unknown",54.22,,,,0.63,false,0
CANA,"Suez Canal Bank","Unknown",39.27,,,,-1.23,false,0
CCAP,"Qalaa Holdings SAE","Unknown",3.58,,,,5.92,false,0
CCRS,"Gulf Canadian RE Investment Co.","Unknown",1.32,,,,2.33,false,0
CEFM,"Middle Egypt Flour Mills","Unknown",84.92,,,,0.19,false,0
CERA,"The Arab Ceramic Ceramica Remas","Unknown",1.07,,,,1.91,false,0
CFGH,"Al Arafa Investment & Consultancies","Unknown",0.104,,,,0,false,0
CICH,"CI Capital Holding Co SAE","Unknown",10.32,,,,0.68,false,0
CIEB,"Credit Agricole Egypt","Unknown",21.69,,,,0.84,false,0
CIRA,"Cairo for Investment and Real Estate Development SAE","Unknown",16.68,,,,1.28,false,0
CLHO,"Cleopatra Hospital","Unknown",13,,,,0.31,false,0
CNFN,"Contact Financial Holding SAE","Unknown",4.02,,,,1.77,false,0
COMI,"Commercial International Bank","Unknown",126,,,,3.7,false,0
COPR,"Copper for Commercial Investment & Real Estate Development SAE","Unknown",0.302,,,,1.34,false,0
COSG,"Cairo Oils & Soap","Unknown",1.32,,,,0,false,0
CPCI,"Kahira Pharmaceuticals and Chemical Industries Co","Unknown",250.64,,,,-1.42,false,0
CPME,"Catalyst Partners Middle East CPME","Unknown",16.88,,,,0,false,0
CRST,"Creast Mark for Contracting and Real Estate Development","Unknown",0.559,,,,1.64,false,0
CSAG,"Canal Shipping Agencies","Unknown",26.8,,,,3.52,false,0
CTSB,"City Trade Securities and Brokerage SAE","Unknown",0.1,,,,0,false,0
DAPH,"Development&Engineering Consultants","Unknown",72.64,,,,-0.74,false,0
DCRC,"Delta Construction & Rebuilding","Unknown",51,,,,0,false,0
DEIN,"Delta Insurance","Unknown",11.38,,,,0,false,0
DGTZ,"DIGITIZE for Investment and","Unknown",3.07,,,,0.33,false,0
DIFC,"International Dry Ice Company","Unknown",9.5,,,,0,false,0
DOMT,"Arabian Food Industries Co","Unknown",24.44,,,,0.21,false,0
DSCW,"Dice Sport & Casual Wear","Unknown",1.69,,,,0.6,false,0
DTPP,"Delta For Printing & Packaging","Unknown",97.29,,,,0.67,false,0
EALR,"El Arabia for Land Reclamation","Unknown",304.2,,,,1.03,false,0
EASB,"Egyptian Arabian Secur Brokerage","Unknown",2.81,,,,0.36,false,0
EAST,"Eastern Tobacco","Unknown",38.35,,,,1.32,false,0
EBSC,"Osool ESB Securities Brokerage Co","Unknown",1.6,,,,0,false,0
ECAP,"Al Ezz Ceramic & Porcelain","Unknown",26.12,,,,1.12,false,0
